2022-12-20 16:18:40,739 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:40,799 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:40,938 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:41,048 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:41,116 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:41,228 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:41,536 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:41,610 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:41,700 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:41,823 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:41,943 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:42,091 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:42,140 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:42,250 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:42,718 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:42,773 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:42,899 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:43,012 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:43,165 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:43,221 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:43,373 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:43,478 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:43,778 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:43,889 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:44,046 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:44,110 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:44,300 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:44,464 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:44,557 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:44,686 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:44,904 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:45,023 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:45,129 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:45,265 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:45,316 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:45,459 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:45,568 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:45,725 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:45,800 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:46,031 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:46,103 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:46,249 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:46,363 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:46,498 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:46,629 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:46,738 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:46,851 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:47,099 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:47,261 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:47,309 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:47,438 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:47,566 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:47,628 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:47,780 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:47,888 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:48,079 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:48,213 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:48,291 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:48,497 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:48,549 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:48,682 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:48,750 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
2022-12-20 16:18:48,888 | INFO | VideoConverterAsync | process_frames | Frame sent to rabbit
